id,tweet
77247,"@DeltaAssist I'm a United 1K, looking to switch to Delta, sent in status match request &amp; e-mailed info and didn't get a reply. Can you help?"
77252,@united @billburton I thought news was about news. Newsmax brings news instead of hiding the issues. Keep it on.
77256,"@DeltaAssist I have just been given 2 EMD's by KLM in response to a complaint re a previous Delta flight, can I use them on the Delta site"
77259,@AndreSala @VirginAmerica I miss you Virgin!
77260,.@JetBlue I fear he's cancelled his return trip from SFO to JFK and switched to #VirginAmerica. I understand his consternation.
77263,@DeltaAssist New iPhone app is much too slow to load. Don't need bells/whistles - need FAST access to boarding pass and itinerary.
77264,@SouthwestAir  ATL its been 9 months. For this former frequent flyer. Miss u guys. See ya http://t.co/Au7Xjg8SU0
77269,First time flying @SouthwestAir and I never wanna go back to any other airline  #southwestair #worktravel http://t.co/pywXtCld8C
77270,"I'm obsessively updating my Twitter feed and your webpage, @JetBlue! Waiting for this #BREAKTHEICE link!"
77272,En route to San Fran and of course my flight is cancelled. @SouthwestAir came through for me and I will still make it to #NADA2015
77278,@JetBlue is really trying to play me with this #BreakTheIce my cc is readying &amp; waiting to book another flight
77283,Do not miss this event https://t.co/0z4N7JenWU @ArshtCenter @Akerman_Law @Al3jandraGuzman @ALPFANational @ARUKnews @AMAZONbevs @AmericanAir
77286,@united why have you not returned the lost cell phone to this couple?         http://t.co/hxfrAyTt88
77287,@Aero0729 @AmericanAir @USAirways ok don't ruin our new planes we invested a lot in those!!! 💲💲✈️
77288,First @SouthwestAir trip of 2015 kicks off with Company Wide Culture Committee induction! BRING IT! ðŸ’™ðŸ’›â¤ï¸ DAL --&gt; HOU #SWALife
77291,@united sent you a DM re: my lost bag.  Is it coming?
77294,@JetBlue Wants to Teach Passengers How to Be Less Rude - http://t.co/RrXibutPk8 #travel cc: @skiftnews
77297,@JetBlue I'm trying this now but it still books for $290? what am I missing?
77300,@AlaskaAir Woot! Woot! Another excuse to fly and experience the Tom Douglas inflight menu :-)
77302,@VirginAmerica Clearing my schedule 4 2/23! Waiting 4 that call!! ðŸ˜œ Had a great time last Fri. Meeting great peeps! You're all awesome!
77305,"@DJDirtyBeagle @VirginAmerica sounds like a ""you"" problem, brohan! Raise hell and stand up for your right to #consumeraccountability #revolt"
77306,"Necklace is still missing in action, but @united &amp; @chargerbk FOUND MY iPAD 2 MONTHS LATER ðŸ‘ðŸ‘ðŸ™ðŸ™ #HipsterHunt2015"
77310,"Friends in NYC, @JetBlue is running an insane deal right now. $32 one-way. http://t.co/CA4aNy8YwZ"
77314,"Shit, New Yorkâ€”you don't HAVE to deal w that cold. Check out these awesome @JetBlue dealzzz: http://t.co/I1zqsn1c87"
77318,@jetblue has $32 flights out of #JFK #LGA #EWR ~ too bad I live in #ATL ~ maybe the fare God's will add us to the list! #Breaktheice
77319,Missing #family #mom'sCookedFood #chai #friends #gossips #home #india when am I #GoingHome @united http://t.co/iXX61elKKj
77320,“@united: @KedmaOugh What are the flight details? Ian to Denver ua1659 to pdx ua1128 ..flight missed was from Houston to portland
77328,Can't say I never looked out. $32 tickets until 4pm. From @JetBlue.   http://t.co/UhBahw7bY2
