,sent,id,tid,airline,rtag,tweet
1,1,77245,5.58E+17,United,lW?u8x48>Tha,"@billburton @united Suck it up, cupcake."
2,1,77246,5.58E+17,United,lW?u8x48>Tha,"@united @billburton United, no guts, no desire for freedom of expression? Shameful behavior for united to take sides!"
3,0,77247,5.58E+17,Delta,lW?u8x48>Tha,"@DeltaAssist I'm a United 1K, looking to switch to Delta, sent in status match request &amp; e-mailed info and didn't get a reply. Can you help?"
4,1,77249,5.58E+17,United,lW?u8x48>Tha,@united terrible customer service again at #DFW .... Nothing like rude gate reps. #terrible #neveragain
5,1,77250,5.58E+17,American,lW?u8x48>Tha,@kevinaom @AmericanAir The flight attendants are overworked. The airlines have been screwing their employees more and more every year.
6,1,77251,5.58E+17,American,lW?u8x48>Tha,Day 17 with no financial reimbursement for my lost bag and personal belongings. @AmericanAir doing a horrible customer service job.
7,0,77252,5.58E+17,United,lW?u8x48>Tha,@united @billburton I thought news was about news. Newsmax brings news instead of hiding the issues. Keep it on.
8,1,77253,5.58E+17,American,lW?u8x48>Tha,@AmericanAir we are trapped on a Tarmac in MIA flt 1101-about to miss Flt 318-please advise
9,1,77254,5.58E+17,American,lW?u8x48>Tha,@AmericanAir you can help by not hiring rude workers
10,1,77255,5.58E+17,American,lW?u8x48>Tha,"@AmericanAir was late on my 1st flight. Now has us stuck on plane for 30 min to repair. We should be able to deplane, eat, and get back on."
11,0,77256,5.58E+17,Delta,lW?u8x48>Tha,"@DeltaAssist I have just been given 2 EMD's by KLM in response to a complaint re a previous Delta flight, can I use them on the Delta site"
12,1,77257,5.58E+17,American,lW?u8x48>Tha,@AmericanAir I did. And guess what? They haven't been turned in. They r still at the gate. It's been +12 hours. Really??? #poorservice
13,1,77258,5.58E+17,American,lW?u8x48>Tha,@AmericanAir your customer relations email me but your system doesn't accept reply emails...  #worstcustomerservice #swimnexttime
14,0,77259,5.58E+17,VirginAmerica,lW?u8x48>Tha,@AndreSala @VirginAmerica I miss you Virgin!
15,0,77260,5.58E+17,JetBlue,lW?u8x48>Tha,.@JetBlue I fear he's cancelled his return trip from SFO to JFK and switched to #VirginAmerica. I understand his consternation.
16,1,77261,5.58E+17,JetBlue,lW?u8x48>Tha,@JetBlue Fl 395 once again-JB can't agree on departure time. It was pushed back one hour at 7am-then it wasnt &amp; wait for it-it was
17,1,77262,5.58E+17,United,lW?u8x48>Tha,"@united i am rebooked on a flight 3 hours from now, but there is no compensation for the hours and energy I'll be wasting here! + my plans"
18,0,77263,5.58E+17,Delta,lW?u8x48>Tha,@DeltaAssist New iPhone app is much too slow to load. Don't need bells/whistles - need FAST access to boarding pass and itinerary.
19,0,77264,5.58E+17,SouthWest,lW?u8x48>Tha,@SouthwestAir  ATL its been 9 months. For this former frequent flyer. Miss u guys. See ya http://t.co/Au7Xjg8SU0
20,1,77265,5.58E+17,United,lW?u8x48>Tha,Nothing like a burning smell 25k feet in the air!  @united
21,1,77266,5.58E+17,JetBlue,lW?u8x48>Tha,@jetblue third time that we land at SDQ and have to wait over 30 minutes for a gate. This is absurd!!!!!! #flight2237
22,1,77267,5.58E+17,JetBlue,lW?u8x48>Tha,"@JetBlue I have always followed #jetblue I love your airline, this was just a bit of a disappointment"
23,1,77268,5.58E+17,United,lW?u8x48>Tha,Delayed for a second time :-( c'mon @united!!!!!
24,0,77269,5.58E+17,SouthWest,lW?u8x48>Tha,First time flying @SouthwestAir and I never wanna go back to any other airline  #southwestair #worktravel http://t.co/pywXtCld8C
25,0,77270,5.58E+17,JetBlue,lW?u8x48>Tha,"I'm obsessively updating my Twitter feed and your webpage, @JetBlue! Waiting for this #BREAKTHEICE link!"
26,1,77271,5.58E+17,United,lW?u8x48>Tha,@united what is your problem. You canceled my boarding pass twice after I checked in. #comeonman
27,0,77272,5.58E+17,SouthWest,lW?u8x48>Tha,En route to San Fran and of course my flight is cancelled. @SouthwestAir came through for me and I will still make it to #NADA2015
28,1,77275,5.58E+17,American,lW?u8x48>Tha,@AmericanAir it has been over a month since I passed platinum status on AA and have yet to hear anything from you about rewards etc... #sad
29,1,77276,5.58E+17,American,lW?u8x48>Tha,@AmericanAir One month later and no response. Hope my next flight does not take that long. AA customer service is a terrible failure.
30,0,77278,5.58E+17,JetBlue,lW?u8x48>Tha,@JetBlue is really trying to play me with this #BreakTheIce my cc is readying &amp; waiting to book another flight
31,1,77279,5.58E+17,American,lW?u8x48>Tha,@AmericanAir have customer relations call me!  I've already emailed twice with no response
32,1,77280,5.58E+17,VirginAmerica,lW?u8x48>Tha,@VirginAmerica I had to spend the night at the airport cause your service at JFK sucks!!!
33,1,77281,5.58E+17,United,lW?u8x48>Tha,@united my experience with cancellation of flight 44 from EWR to BRU because of a fire in the engine during takeoff was quite unpleasant!
34,0,77283,5.58E+17,American,lW?u8x48>Tha,Do not miss this event https://t.co/0z4N7JenWU @ArshtCenter @Akerman_Law @Al3jandraGuzman @ALPFANational @ARUKnews @AMAZONbevs @AmericanAir
35,1,77284,5.58E+17,American,lW?u8x48>Tha,Gate agent on @AmericanAir in Miami has some attitude issues. Way to treat your gold customers.
36,1,77285,5.58E+17,United,lW?u8x48>Tha,Every time I fly on @united my flight always gets fucking delayed!!! Bullshit.
37,0,77286,5.58E+17,United,lW?u8x48>Tha,@united why have you not returned the lost cell phone to this couple?         http://t.co/hxfrAyTt88
38,0,77287,5.58E+17,American,lW?u8x48>Tha,@Aero0729 @AmericanAir @USAirways ok don't ruin our new planes we invested a lot in those!!! 💲💲✈️
